setpoint,gain,reset_rate,deadband,cycle_time,rate,system_mode,control_scheme,pump,solenoid,pressure_measurement,crc_rate,Label
0,0,0,0,0,0,0,0,0,0,0.689655,12356,0
10,115,0.2,0.5,1,0,0,1,0,0,0.666667,14393,0
10,115,0.2,0.5,1,0,0,1,0,0,0.701149,17221,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,0.678161,13379,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,0.724138,13382,0
10,115,0.2,0.5,1,0,0,1,0,0,0.678161,13378,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,1.2465,14660,1
10,115,0.2,0.5,1,0,0,1,0,0,1.26302,12595,1
10,115,0.2,0.5,1,0,0,1,0,0,1.23958,12597,1
10,115,0.2,0.5,1,0,0,1,0,0,0.755837,17200,1
10,115,0.2,0.5,1,0,0,1,0,0,1.75386,12849,1
10,115,0.2,0.5,1,0,0,1,0,0,0.552936,12870,1
10,115,0.2,0.5,1,0,0,1,0,0,1.69181,13876,1
10,115,0.2,0.5,1,0,0,1,0,0,0.795124,17968,1
10,115,0.2,0.5,1,0,0,1,0,0,1.79203,16691,1
10,115,0.2,0.5,1,0,0,1,0,0,0.575925,16948,1
10,115,0.2,0.5,1,0,0,1,0,0,0.572019,16947,1
10,115,0.2,0.5,1,0,0,1,0,0,0.591999,12853,1
10,115,0.2,0.5,1,0,0,1,0,0,0.724138,13616,0
10,115,0.2,0.5,1,0,0,1,0,0,0.701149,17221,0
10,115,0.2,0.5,1,0,0,1,0,0,0.735632,12594,0
10,115,0.2,0.5,1,0,0,1,0,0,0.712644,14406,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,0.701149,17220,0
10,115,0.2,0.5,1,0,0,1,0,0,0.712644,14406,0
10,115,0.2,0.5,1,0,0,1,0,0,0.666667,14393,0
10,115,0.2,0.5,1,0,0,1,0,0,0.724138,13382,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12355,0
10,115,0.2,0.5,1,0,0,1,0,0,0.689655,12354,0
10,115,0.2,0.5,1,0,0,1,0,0,5.00E-39,17221,1
10,115,0.2,0.5,1,0,0,1,0,0,4.46E-39,13378,1
10,115,0.2,0.5,1,0,0,1,0,0,4.46E-39,13378,1
10,115,0.2,0.5,1,0,0,1,0,0,5.27E-39,14405,1
10,115,0.2,0.5,1,0,0,1,0,0,5.27E-39,14405,1
10,115,0.2,0.5,1,0,0,1,0,0,5.00E-39,17221,1
10,115,0.2,0.5,1,0,0,1,0,0,5.00E-39,17221,1
10,115,0.2,0.5,1,0,0,1,0,0,5.00E-39,17221,1
3.06,117,0.3372,0.46,1,0,2,1,0,0,4.80E-39,17713,1
3.06,117,0.3372,0.46,1,0,2,1,0,0,7.16E-39,17478,1
3.06,117,0.3372,0.46,1,0,2,1,0,0,4.93E-39,17200,1
3.06,117,0.3372,0.46,1,0,2,1,0,0,0,17477,2
3.06,117,0.3372,0.46,1,0,2,1,0,0,0,13636,2
3.68,117,0.3372,0.46,1,0,2,1,0,0,0,16965,2
3.68,117,0.3372,0.46,1,0,2,1,0,0,0.000112153,13124,2
3.68,117,0.3372,0.46,1,0,2,1,0,0,1.87E+33,13377,2
3.68,117,0.3372,0.46,1,0,2,1,0,0,0,14649,2
3.68,117,0.3372,0.46,1,0,2,1,0,1,0,13363,2
3.68,117,0.3372,0.46,1,0,2,1,0,1,5.76E-10,17731,2
3.68,117,0.3372,0.46,1,0,2,1,0,1,9.10E+27,14643,2
3.68,117,0.3372,0.46,1,0,2,1,0,1,0,12340,2
3.68,117,0.3372,0.46,1,0,1,1,0,1,0,17989,2
3.68,117,0.3372,0.46,1,0,1,1,0,1,2.91E-15,14134,2
3.68,117,0.3372,0.46,1,0,1,1,0,1,0,12856,2
3.68,117,0.3372,0.46,1,0,1,1,0,1,0,17201,2
3.68,117,0.2114,0.46,1,0,1,1,0,1,9.10E+27,13625,2
3.68,117,0.2114,0.46,1,0,1,1,0,1,5.76E-10,12868,2
3.68,117,0.2114,0.46,1,0,1,1,0,1,0.505747,16953,0
3.68,117,0.2114,0.46,1,0,1,1,0,1,0.54023,12336,0
3.68,117,0.2114,0.46,1,0,0,1,0,1,0.517241,16962,0
3.68,117,0.2114,0.46,1,0,0,1,0,1,0.517241,16962,0
