Name,index,Random Forest Feature Importance
function,1,0.170343393348198
crc_rate,14,0.14766013737328723
length,2,0.13582749446454592
cycle_time,7,0.09481904071011135
reset_rate,5,0.09391085303862305
setpoint,3,0.08868154327115263
gain,4,0.074428897255259
deadband,6,0.07117065004644857
rate,8,0.047492894222683574
pump,11,0.027475738323797634
system_mode,9,0.025343796484293617
control_scheme,10,0.008637793400787968
solenoid,12,0.006636812305431064
address,0,0.006363212154891685
pressure_measurement,13,0.001207743600488654
