Name,index,Standard Deviation,Absolute Difference,Skewness,Kurtosis,Standard Deviation Rank,Absolute Difference Rank,Skewness Rank,Kurtosis Rank,Total Rank
address,address,0.020107335583638464,0.0003833721968229953,21.103136097542773,695.9677476095217,1.0,1.0,1.0,15.0,18.0
pressure_measurement,pressure_measurement,0.04025801241653784,0.0021544717003604695,20.202444748954154,419.62735932299887,2.0,2.0,2.0,14.0,20.0
reset_rate,reset_rate,0.08004788927141086,0.003065952004851824,3.0084369163702873,20.311498898341142,5.0,3.0,5.0,9.0,22.0
setpoint,setpoint,0.13737833464787377,0.004574580854017407,0.9591211297524205,2.9007976288020627,8.0,4.0,8.0,7.0,27.0
cycle_time,cycle_time,0.07834111160296009,0.026717962915170146,2.4926000454040906,21.713068146895083,4.0,8.0,6.0,10.0,28.0
rate,rate,0.08577199340032027,0.011895913680001093,8.08613817903924,69.055647532559,6.0,6.0,3.0,13.0,28.0
function,function,0.1369612604465062,0.030514784079272585,5.122152526915245,27.34285043960662,7.0,9.0,4.0,12.0,32.0
deadband,deadband,0.1728851605845124,0.01831610471887607,0.17108612881279467,-0.9675117731838587,9.0,7.0,11.0,5.0,32.0
gain,gain,0.07263125329072492,0.008429043735450947,-4.8345141294069744,26.24159852437439,3.0,5.0,15.0,11.0,34.0
system_mode,system_mode,0.3978953380407865,0.24688203615214677,1.1613419323744805,-0.41861105724147407,11.0,11.0,7.0,6.0,35.0
crc_rate,crc_rate,0.4245780586183687,0.2798597265465055,0.09126297601340032,-1.9747149999135185,12.0,12.0,12.0,1.0,37.0
pump,pump,0.46662393122116774,0.32037916699016794,0.7698767889754663,-1.4072897297968245,13.0,13.0,9.0,4.0,39.0
length,length,0.18609682877468506,0.041965758275162024,-4.471936683027543,18.801826414294165,10.0,10.0,14.0,8.0,42.0
solenoid,solenoid,0.49771557228541263,0.45224062846293384,0.19191499219708485,-1.9631686357699925,15.0,15.0,10.0,2.0,42.0
control_scheme,control_scheme,0.4737655772555235,0.3401633269574178,-0.6747524294680354,-1.5447091589269852,14.0,14.0,13.0,3.0,44.0
