Name,index,Standard Deviation,Absolute Difference,Skewness,Kurtosis,Standard Deviation Rank,Absolute Difference Rank,Skewness Rank,Kurtosis Rank,Total Rank
address,address,0.014800418289864985,0.00021488632824659404,28.94809372928879,1290.6734384762012,1.0,1.0,1.0,15.0,18.0
pressure_measurement,pressure_measurement,0.04003890760873418,0.0021248542094736826,20.341721624361952,424.789592437671,2.0,2.0,2.0,14.0,20.0
reset_rate,reset_rate,0.08009205028694412,0.0028312004295976134,3.021450610617009,20.446822907632153,6.0,3.0,6.0,8.0,23.0
setpoint,setpoint,0.1373267435277431,0.008257338857254354,0.9624156644177752,2.901609306717649,9.0,4.0,9.0,7.0,29.0
rate,rate,0.08612373563200056,0.012055148811277073,7.997693354848918,67.49600474582579,7.0,7.0,3.0,12.0,29.0
crc_rate,crc_rate,0.0417565710376273,0.014941237711927347,4.820263142116229,68.35183448832113,3.0,8.0,5.0,13.0,29.0
cycle_time,cycle_time,0.07852879992083076,0.02686146569219755,2.528494073411084,22.060284575804577,5.0,9.0,7.0,9.0,30.0
function,function,0.10263582985002562,0.04860133568635592,6.569027263976283,49.486708173831595,8.0,10.0,4.0,11.0,33.0
gain,gain,0.07244889516780388,0.008424283687075151,-4.836647515643314,26.266595020127532,4.0,5.0,15.0,10.0,34.0
deadband,deadband,0.1728319965526972,0.008525882198091084,0.16860590192300734,-0.9611367274956701,10.0,6.0,13.0,5.0,34.0
system_mode,system_mode,0.3977904783825184,0.24650659990896678,1.163742863435494,-0.4135657679974245,12.0,11.0,8.0,6.0,37.0
length,length,0.37405607022951315,0.30810650887573965,0.7478738374329224,-1.0245344836821164,11.0,12.0,11.0,4.0,38.0
pump,pump,0.46645437619665764,0.3199408284023669,0.7720351252850872,-1.4039617653260392,13.0,13.0,10.0,3.0,39.0
solenoid,solenoid,0.49793586493395364,0.45460172963131545,0.18234626940913984,-1.9667498380325688,15.0,15.0,12.0,1.0,43.0
control_scheme,control_scheme,0.47407283962790964,0.34107874374146563,-0.6704523214722393,-1.5504936846324853,14.0,14.0,14.0,2.0,44.0
