Name,index,Standard Deviation,Absolute Difference,Skewness,Kurtosis,Standard Deviation Rank,Absolute Difference Rank,Skewness Rank,Kurtosis Rank,Total Rank
address,address,0.020825521417013316,0.0003965606029578128,20.938302244592833,673.3912035132779,1.0,1.0,1.0,15.0,18.0
pressure_measurement,pressure_measurement,0.03963260472811301,0.0020973330819672844,20.44670546286048,429.8621731450785,2.0,2.0,2.0,14.0,20.0
reset_rate,reset_rate,0.07975120984359005,0.0026306525753265197,2.9850550404141183,20.182011401328072,5.0,3.0,5.0,9.0,22.0
setpoint,setpoint,0.13760803391407728,0.004692386681784205,0.9660236187257871,2.916813372430263,7.0,4.0,8.0,7.0,26.0
rate,rate,0.08610064120805247,0.011965096724181756,8.052868888309058,68.40822771747487,6.0,6.0,3.0,13.0,28.0
cycle_time,cycle_time,0.07864550000448588,0.026997969704293884,2.5050688190822594,21.66332851522396,4.0,8.0,6.0,10.0,28.0
deadband,deadband,0.17310320854192296,0.01867163685432882,0.16610250309867192,-0.9711995575981183,9.0,7.0,11.0,5.0,32.0
function,function,0.13762210489581514,0.030654970450662837,5.106301436116246,27.13262134682499,8.0,9.0,4.0,12.0,33.0
gain,gain,0.07238442584551205,0.00834041565065713,-4.869402416400514,26.782821657598934,3.0,5.0,15.0,11.0,34.0
system_mode,system_mode,0.39807854352678873,0.24699363877786895,1.1607556817553584,-0.4209896302404319,11.0,11.0,7.0,6.0,35.0
crc_rate,crc_rate,0.42451729730943144,0.2790660836942719,0.09507289109338148,-1.9739537486698016,12.0,12.0,12.0,1.0,37.0
pump,pump,0.4667744867880484,0.32076969905508057,0.7679558188284555,-1.4102438603275165,13.0,13.0,9.0,4.0,39.0
length,length,0.18649599107148437,0.042052295539498075,-4.468487978991207,18.757448961793404,10.0,10.0,14.0,8.0,42.0
solenoid,solenoid,0.49768857526513355,0.4519555684956283,0.193071112483601,-1.9627235455243446,15.0,15.0,10.0,2.0,42.0
control_scheme,control_scheme,0.47393793940939843,0.3406738836981552,-0.6723530905946382,-1.547941321567838,14.0,14.0,13.0,3.0,44.0
