Name,index,Standard Deviation,Absolute Difference,Skewness,Kurtosis,Standard Deviation Rank,Absolute Difference Rank,Skewness Rank,Kurtosis Rank,Total Rank
reset_rate,reset_rate,0.08009086010761687,0.002870316360315539,3.027019333557536,20.45426659752853,1.0,1.0,3.0,8.0,13.0
rate,rate,0.0863316544523964,0.012070485118957704,8.007890471256372,67.64717354905537,2.0,3.0,2.0,11.0,18.0
deadband,deadband,0.172601649479794,0.008850357525854002,0.16887904839349804,-0.9630729480634344,3.0,2.0,10.0,5.0,20.0
cycle_time,cycle_time,0.3475177774333201,0.11860983746804565,2.5023388023054216,21.90585666378573,4.0,4.0,4.0,9.0,21.0
pump,pump,0.46628103103394075,0.31948640483383683,0.7742751436295933,-1.4004980019573734,5.0,5.0,7.0,4.0,21.0
control_scheme,control_scheme,0.4738967145268432,0.34054729258656746,-0.6729477565196766,-1.5471413169951338,6.0,6.0,11.0,2.0,25.0
solenoid,solenoid,0.49794705259107575,0.45469730420636767,0.18195920456466086,-1.9668908478741962,7.0,8.0,9.0,1.0,25.0
system_mode,system_mode,0.7951194564179024,0.49247617940971417,1.165330106148133,-0.40902771857815257,8.0,9.0,5.0,6.0,28.0
setpoint,setpoint,6.720591684575492,0.3987716418777598,0.9566440176048819,2.879614236451175,9.0,7.0,6.0,7.0,29.0
crc_rate,crc_rate,1951.8909273361555,688.4975307924706,0.3741766330780298,-1.446253635095912,11.0,11.0,8.0,3.0,33.0
pressure_measurement,pressure_measurement,1.355797633198101e+37,7.275103824080973e+35,20.1418117138511,416.9879580906574,12.0,12.0,1.0,12.0,37.0
gain,gain,8.630922792825189,1.0019172670230034,-4.864577471592611,26.788252309440864,10.0,10.0,12.0,10.0,42.0
