Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Final Test Accuracy,Final Test Precision,Final Test Recall,Final Test F1 Score,Final Test FPR,Final Test FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,RFE,XGB,micro,13,"address, length",0.9899417681312864,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,0.001440677966101695,0.11352040816326531,6.009905099868774,10.348567008972168,50.35379886627197,66.71227097511292
function,WFI-RF,RFE,XGB,macro,13,"address, length",0.9355304348137526,0.987012987012987,0.9509962923764675,0.9025022160086783,0.9247885875372422,0.001440677966101695,0.11352040816326531,6.009905099868774,10.348567008972168,50.133629322052,66.49210143089294
function,WFI-RF,RFE,XGB,weighted,13,"address, length",0.9896815096375271,0.987012987012987,0.9866834017257307,0.987012987012987,0.9866716270335633,0.001440677966101695,0.11352040816326531,6.009905099868774,10.348567008972168,50.0771689414978,66.43564105033875
function,WFI-RF,SPFS,XGB,micro,15,,0.9898535380271749,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.001440677966101695,0.11479591836734694,6.009905099868774,8.447863817214966,45.56080603599548,60.018574953079224
function,WFI-RF,SPFS,XGB,macro,15,,0.9352320440419638,0.9870482778091474,0.9513574561915875,0.9010109999750733,0.9239767179627819,0.001440677966101695,0.11479591836734694,6.009905099868774,8.447863817214966,45.18305468559265,59.64082360267639
function,WFI-RF,SPFS,XGB,weighted,15,,0.9895890387835182,0.9870482778091474,0.986697951700097,0.9870482778091474,0.9866880426020872,0.001440677966101695,0.11479591836734694,6.009905099868774,8.447863817214966,45.10640335083008,59.56417226791382
function,WFI-RF,None,XGB,micro,15,,0.990029998235398,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,43.9735221862793,50.73306941986084
function,WFI-RF,None,XGB,macro,15,,0.935479648318935,0.9870482778091474,0.9505109111354444,0.9006839022444316,0.9234204461351688,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,44.089343547821045,50.84889078140259
function,WFI-RF,None,XGB,weighted,15,,0.9897677119986813,0.9870482778091474,0.9866904764780595,0.9870482778091474,0.9866865688971839,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,44.93084526062012,51.69039249420166
function,WFI-RF,rem_1,XGB,micro,14,pressure_measurement,0.9902946885477325,0.98729531338227,0.98729531338227,0.98729531338227,0.98729531338227,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,37.918824434280396,44.67837166786194
function,WFI-RF,rem_1,XGB,macro,14,pressure_measurement,0.9360961041803323,0.98729531338227,0.9507115997368878,0.9048155572917422,0.9260503627826585,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,38.73723220825195,45.496779441833496
function,WFI-RF,rem_1,XGB,weighted,14,pressure_measurement,0.9900344843002006,0.98729531338227,0.9869806981412226,0.98729531338227,0.986979473166985,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,38.327406883239746,45.08695411682129
function,WFI-RF,rem_2,XGB,micro,13,"pressure_measurement, address",0.990029998235398,0.9872247317899492,0.9872247317899492,0.9872247317899492,0.9872247317899492,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,39.410372495651245,46.16991972923279
function,WFI-RF,rem_2,XGB,macro,13,"pressure_measurement, address",0.935479648318935,0.9872247317899492,0.9506975710278223,0.9046497198124719,0.9259562684249142,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,39.48923373222351,46.248780965805054
function,WFI-RF,rem_2,XGB,weighted,13,"pressure_measurement, address",0.9897677119986813,0.9872247317899492,0.9869114261394519,0.9872247317899492,0.9869075063141163,0.001440677966101695,0.11224489795918367,6.009905099868774,0.7496421337127686,39.352691411972046,46.11223864555359
function,WFI-RF,rem_3,XGB,micro,12,"pressure_measurement, address, solenoid",0.9872948650079407,0.9851072840203275,0.9851072840203275,0.9851072840203275,0.9851072840203275,0.0023728813559322033,0.14795918367346939,6.009905099868774,0.7496421337127686,39.403558015823364,46.16310524940491
function,WFI-RF,rem_3,XGB,macro,12,"pressure_measurement, address, solenoid",0.9257813405682432,0.9850014116318464,0.9439463775236066,0.895712225512956,0.918165437631084,0.0019067796610169492,0.16071428571428573,6.009905099868774,0.7496421337127686,39.662171363830566,46.42171859741211
function,WFI-RF,rem_3,XGB,weighted,12,"pressure_measurement, address, solenoid",0.9868983914520721,0.9851072840203275,0.9847162034677527,0.9851072840203275,0.9847454296033002,0.0023728813559322033,0.14795918367346939,6.009905099868774,0.7496421337127686,39.70833683013916,46.4678840637207
function,WFI-RF,rem_4,XGB,micro,11,"control_scheme, pressure_measurement, address, solenoid",0.9870301746956062,0.9847543760587238,0.9847543760587238,0.9847543760587238,0.9847543760587238,0.002542372881355932,0.14285714285714285,6.009905099868774,0.7496421337127686,41.375834941864014,48.13538217544556
function,WFI-RF,rem_4,XGB,macro,11,"control_scheme, pressure_measurement, address, solenoid",0.9219800373583724,0.9846132128740824,0.9373376227686755,0.8905734233087444,0.91184618482672,0.0027966101694915256,0.14668367346938777,6.009905099868774,0.7496421337127686,41.30039834976196,48.059945583343506
function,WFI-RF,rem_4,XGB,weighted,11,"control_scheme, pressure_measurement, address, solenoid",0.9865907293831276,0.9847543760587238,0.9843542933652151,0.9847543760587238,0.9844165603576867,0.002542372881355932,0.14285714285714285,6.009905099868774,0.7496421337127686,41.47601342201233,48.23556065559387
function,WFI-RF,rem_5,XGB,micro,10,"system_mode, pressure_measurement, address, control_scheme, solenoid",0.9840303511558144,0.9810841332580463,0.9810841332580463,0.9810841332580463,0.9810841332580463,0.0034745762711864405,0.2372448979591837,6.009905099868774,0.7496421337127686,43.18471050262451,49.944257736206055
