Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time,Feature Selection Time,Evaluation Time,Total Time
function,SP,RFE,RF,micro,13,"crc_rate, pressure_measurement",0.9897,0.9871,0.9871,0.9871,0.9871,0.0015,0.1135,0.2713,140.3831,67.1213,207.7756
function,WFI-XGB,RFE,RF,micro,12,"function, pressure_measurement, address",0.9899,0.9871,0.9871,0.9871,0.9871,0.0015,0.1148,3.5413,118.1741,67.2535,188.969
function,SP,RFE,RF,weighted,13,"crc_rate, pressure_measurement",0.9894,0.9871,0.9869,0.9871,0.9869,0.0015,0.1135,0.2713,140.3831,66.5244,207.1788
function,WFI-XGB,RFE,RF,weighted,12,"function, pressure_measurement, address",0.9896,0.9871,0.9868,0.9871,0.9869,0.0015,0.1148,3.5413,118.1741,68.0337,189.7491
function,SP,None,RF,micro,15,,0.9899,0.987,0.987,0.987,0.987,0.0015,0.1161,0.2713,8.3521,72.7778,81.4012
function,WFI-RF,None,RF,micro,15,,0.9899,0.987,0.987,0.987,0.987,0.0015,0.1161,7.6107,8.1132,73.407,89.1308
function,WFI-XGB,None,RF,micro,15,,0.9899,0.987,0.987,0.987,0.987,0.0015,0.1161,3.5413,8.2624,74.1028,85.9065
function,WFI-RF,None,RF,weighted,15,,0.9895,0.987,0.9867,0.987,0.9867,0.0015,0.1161,7.6107,8.1132,74.2324,89.9563
function,SP,None,RF,weighted,15,,0.9895,0.987,0.9867,0.987,0.9867,0.0015,0.1161,0.2713,8.3521,74.6111,83.2345
function,WFI-XGB,None,RF,weighted,15,,0.9895,0.987,0.9867,0.987,0.9867,0.0015,0.1161,3.5413,8.2624,72.9117,84.7154
function,WFI-RF,rem_1,RF,micro,14,pressure_measurement,0.9898,0.9869,0.9869,0.9869,0.9869,0.0015,0.1135,7.6107,8.1132,62.7743,78.4982
function,WFI-XGB,rem_1,RF,micro,14,address,0.9898,0.9869,0.9869,0.9869,0.9869,0.0015,0.1173,3.5413,8.2624,72.8105,84.6142
function,WFI-RF,rem_1,RF,weighted,14,pressure_measurement,0.9895,0.9869,0.9867,0.9869,0.9867,0.0015,0.1135,7.6107,8.1132,61.37,77.0938
function,WFI-XGB,rem_1,RF,weighted,14,address,0.9895,0.9869,0.9866,0.9869,0.9867,0.0015,0.1173,3.5413,8.2624,77.1574,88.9611
function,WFI-XGB,SPFS,RF,micro,15,,0.9897,0.9869,0.9869,0.9869,0.9869,0.0015,0.1161,3.5413,70.686,74.4607,148.6881
function,WFI-XGB,SPFS,RF,weighted,15,,0.9893,0.9869,0.9866,0.9869,0.9866,0.0015,0.1161,3.5413,70.686,74.0131,148.2404
function,WFI-XGB,rem_2,RF,micro,13,"pressure_measurement, address",0.9897,0.9868,0.9868,0.9868,0.9868,0.0015,0.1148,3.5413,8.2624,65.8471,77.6508
function,WFI-XGB,rem_2,RF,weighted,13,"pressure_measurement, address",0.9894,0.9868,0.9865,0.9868,0.9865,0.0015,0.1148,3.5413,8.2624,64.5216,76.3253
function,WFI-RF,rem_2,RF,micro,13,"pressure_measurement, address",0.9898,0.9867,0.9867,0.9867,0.9867,0.0015,0.1161,7.6107,8.1132,64.9786,80.7024
function,WFI-RF,RFE,RF,micro,12,"crc_rate, pressure_measurement, address",0.9894,0.9867,0.9867,0.9867,0.9867,0.0015,0.1148,7.6107,119.0163,66.4172,193.0441
function,WFI-RF,RFE,RF,weighted,12,"crc_rate, pressure_measurement, address",0.9891,0.9867,0.9864,0.9867,0.9865,0.0015,0.1148,7.6107,119.0163,65.5348,192.1618
function,WFI-RF,rem_2,RF,weighted,13,"pressure_measurement, address",0.9895,0.9867,0.9865,0.9867,0.9865,0.0015,0.1161,7.6107,8.1132,65.1027,80.8266
function,WFI-RF,SPFS,RF,micro,15,,0.9899,0.9866,0.9866,0.9866,0.9866,0.0015,0.1199,7.6107,89.7379,74.1535,171.502
function,SP,SPFS,RF,weighted,15,,0.9893,0.9866,0.9863,0.9866,0.9863,0.0015,0.1199,0.2713,139.4981,72.7372,212.5066
function,SP,SPFS,RF,micro,15,,0.9896,0.9866,0.9866,0.9866,0.9866,0.0015,0.1199,0.2713,139.4981,75.1577,214.9271
function,SP,rem_1,RF,micro,14,control_scheme,0.989,0.9866,0.9866,0.9866,0.9866,0.0015,0.1224,0.2713,8.3521,76.689,85.3124
function,WFI-RF,SPFS,RF,weighted,15,,0.9896,0.9866,0.9863,0.9866,0.9863,0.0015,0.1199,7.6107,89.7379,72.2276,169.5761
function,SP,rem_1,RF,weighted,14,control_scheme,0.9885,0.9866,0.9862,0.9866,0.9862,0.0015,0.1224,0.2713,8.3521,75.18,83.8034
function,WFI-RF,rem_3,RF,micro,12,"solenoid, pressure_measurement, address",0.9873,0.9855,0.9855,0.9855,0.9855,0.0026,0.1327,7.6107,8.1132,64.5516,80.2754
function,WFI-RF,rem_3,RF,weighted,12,"solenoid, pressure_measurement, address",0.9871,0.9855,0.9852,0.9855,0.9852,0.0026,0.1327,7.6107,8.1132,64.6412,80.3651
function,WFI-XGB,rem_3,RF,micro,12,"solenoid, pressure_measurement, address",0.9873,0.9854,0.9854,0.9854,0.9854,0.0026,0.1352,3.5413,8.2624,64.8469,76.6506
function,WFI-XGB,rem_3,RF,weighted,12,"solenoid, pressure_measurement, address",0.9871,0.9854,0.985,0.9854,0.9851,0.0026,0.1352,3.5413,8.2624,67.0715,78.8752
function,SP,None,XGB,micro,15,,0.9873,0.9853,0.9853,0.9853,0.9853,0.0006,0.1276,0.2713,2.6469,21.8385,24.7566
function,WFI-RF,None,XGB,micro,15,,0.9873,0.9853,0.9853,0.9853,0.9853,0.0006,0.1276,7.6107,2.7278,23.5335,33.8719
function,WFI-XGB,None,XGB,micro,15,,0.9873,0.9853,0.9853,0.9853,0.9853,0.0006,0.1276,3.5413,2.8595,24.2904,30.6913
function,WFI-RF,None,XGB,weighted,15,,0.987,0.9853,0.9854,0.9853,0.9851,0.0006,0.1276,7.6107,2.7278,23.1608,33.4992
function,SP,None,XGB,weighted,15,,0.987,0.9853,0.9854,0.9853,0.9851,0.0006,0.1276,0.2713,2.6469,21.317,24.2352
function,WFI-XGB,None,XGB,weighted,15,,0.987,0.9853,0.9854,0.9853,0.9851,0.0006,0.1276,3.5413,2.8595,21.7202,28.1211
