Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,RFE,XGB,micro,12,"address, control_scheme, length",0.9848600955438231,0.9848600955438231,0.9848600955438231,0.9848600955438231,0.0005943721617009642,0.14819077100120495,5.11919641494751,8.704253673553467,5.339205503463745,19.16265559196472
function,WFI-RF,RFE,XGB,macro,12,"address, control_scheme, length",0.9848600955438231,0.964757951848951,0.9015593982733734,0.930225841091642,0.0005943721617009642,0.14819077100120495,5.11919641494751,8.704253673553467,5.4348790645599365,19.258329153060913
function,WFI-RF,RFE,XGB,weighted,12,"address, control_scheme, length",0.9848600955438231,0.9847647780576683,0.9848600955438231,0.9844064010886997,0.0005943721617009642,0.14819077100120495,5.11919641494751,8.704253673553467,5.352766752243042,19.17621684074402
function,WFI-RF,SPFS,XGB,micro,15,,0.9853982937301984,0.9853982937301984,0.9853982937301984,0.9853982937301984,0.0006369224629596105,0.14195249873998617,5.11919641494751,6.586746692657471,5.658779621124268,17.364722728729248
function,WFI-RF,SPFS,XGB,macro,15,,0.9853982937301984,0.9681153905659923,0.9074148084647217,0.9351949731070397,0.0006369224629596105,0.14195249873998617,5.11919641494751,6.586746692657471,5.633913993835449,17.33985710144043
function,WFI-RF,SPFS,XGB,weighted,15,,0.9853982937301984,0.9853096081663699,0.9853982937301984,0.9849837403044965,0.0006369224629596105,0.14195249873998617,5.11919641494751,6.586746692657471,5.598778486251831,17.30472159385681
function,WFI-RF,None,XGB,micro,15,,0.9853982937301984,0.9853982937301984,0.9853982937301984,0.9853982937301984,0.0006369224629596105,0.14195249873998617,5.11919641494751,0.6504628658294678,5.653239965438843,11.42289924621582
function,WFI-RF,None,XGB,macro,15,,0.9853982937301984,0.9681153905659923,0.9074148084647217,0.9351949731070397,0.0006369224629596105,0.14195249873998617,5.11919641494751,0.6504628658294678,5.9434685707092285,11.713127851486206
function,WFI-RF,None,XGB,weighted,15,,0.9853982937301984,0.9853096081663699,0.9853982937301984,0.9849837403044965,0.0006369224629596105,0.14195249873998617,5.11919641494751,0.6504628658294678,5.593461275100708,11.363120555877686
function,WFI-RF,rem_1,XGB,micro,14,pressure_measurement,0.983245530563383,0.983245530563383,0.983245530563383,0.983245530563383,0.0008818052878310897,0.17302806106446328,5.11919641494751,0.6504628658294678,5.376374006271362,11.14603328704834
function,WFI-RF,rem_1,XGB,macro,14,pressure_measurement,0.983245530563383,0.9599320194822267,0.8780935282077318,0.9132702766071292,0.0008818052878310897,0.17302806106446328,5.11919641494751,0.6504628658294678,5.356613874435425,11.126273155212402
function,WFI-RF,rem_1,XGB,weighted,14,pressure_measurement,0.983245530563383,0.9829216144508763,0.983245530563383,0.9825177231114036,0.0008818052878310897,0.17302806106446328,5.11919641494751,0.6504628658294678,5.22727108001709,10.996930360794067
function,WFI-RF,rem_2,XGB,micro,13,"address, pressure_measurement",0.983245530563383,0.983245530563383,0.983245530563383,0.983245530563383,0.0008818052878310897,0.17302806106446328,5.11919641494751,0.6504628658294678,5.168323040008545,10.937982320785522
function,WFI-RF,rem_2,XGB,macro,13,"address, pressure_measurement",0.983245530563383,0.9599320194822267,0.8780935282077318,0.9132702766071292,0.0008818052878310897,0.17302806106446328,5.11919641494751,0.6504628658294678,5.122783899307251,10.892443180084229
function,WFI-RF,rem_2,XGB,weighted,13,"address, pressure_measurement",0.983245530563383,0.9829216144508763,0.983245530563383,0.9825177231114036,0.0008818052878310897,0.17302806106446328,5.11919641494751,0.6504628658294678,5.196189641952515,10.965848922729492
function,WFI-RF,rem_3,XGB,micro,12,"address, solenoid, pressure_measurement",0.9812074595264344,0.9812074595264344,0.9812074595264344,0.9812074595264344,0.0014660902630067546,0.21895587405504968,5.11919641494751,0.6504628658294678,5.138858795166016,10.908518075942993
function,WFI-RF,rem_3,XGB,macro,12,"address, solenoid, pressure_measurement",0.9812074595264344,0.9563751055040243,0.8625023288987498,0.9012117543786239,0.0014660902630067546,0.21895587405504968,5.11919641494751,0.6504628658294678,5.162935256958008,10.932594537734985
function,WFI-RF,rem_3,XGB,weighted,12,"address, solenoid, pressure_measurement",0.9812074595264344,0.9807307865675099,0.9812074595264344,0.9802260675593674,0.0014660902630067546,0.21895587405504968,5.11919641494751,0.6504628658294678,5.15632963180542,10.925988912582397
function,WFI-RF,rem_4,XGB,micro,11,"control_scheme, address, solenoid, pressure_measurement",0.9804134166113428,0.9804134166113428,0.9804134166113428,0.9804134166113428,0.0017315805521919518,0.22170277815472,5.11919641494751,0.6504628658294678,5.071482181549072,10.84114146232605
function,WFI-RF,rem_4,XGB,macro,11,"control_scheme, address, solenoid, pressure_measurement",0.9804134166113428,0.9527079550427541,0.8562532160653287,0.8950662349620778,0.0017315805521919518,0.22170277815472,5.11919641494751,0.6504628658294678,5.135634899139404,10.905294179916382
function,WFI-RF,rem_4,XGB,weighted,11,"control_scheme, address, solenoid, pressure_measurement",0.9804134166113428,0.9798479776319935,0.9804134166113428,0.9793338147368846,0.0017315805521919518,0.22170277815472,5.11919641494751,0.6504628658294678,5.115281820297241,10.884941101074219
function,WFI-RF,rem_5,XGB,micro,10,"control_scheme, pressure_measurement, address, solenoid, system_mode",0.9765843157154123,0.9765843157154123,0.9765843157154123,0.9765843157154123,0.002390566542786951,0.33021033679395134,5.11919641494751,0.6504628658294678,5.004018306732178,10.773677587509155
function,WFI-RF,rem_5,XGB,macro,10,"control_scheme, pressure_measurement, address, solenoid, system_mode",0.9765843157154123,0.946460142252654,0.8360212109431215,0.8796353968824366,0.002390566542786951,0.33021033679395134,5.11919641494751,0.6504628658294678,4.985843181610107,10.755502462387085
function,WFI-RF,rem_5,XGB,weighted,10,"control_scheme, pressure_measurement, address, solenoid, system_mode",0.9765843157154123,0.9757067504840897,0.9765843157154123,0.975011213133854,0.002390566542786951,0.33021033679395134,5.11919641494751,0.6504628658294678,4.994853258132935,10.764512538909912
function,WFI-RF,rem_6,XGB,micro,9,"pump, control_scheme, pressure_measurement, address, solenoid, system_mode",0.9705671689516591,0.9705671689516591,0.9705671689516591,0.9705671689516591,0.0034640913425092123,0.5047261803910439,5.11919641494751,0.6504628658294678,4.924443483352661,10.694102764129639
function,WFI-RF,rem_6,XGB,macro,9,"pump, control_scheme, pressure_measurement, address, solenoid, system_mode",0.9705671689516591,0.9317406498224194,0.8027949085734886,0.8507387724601145,0.0034640913425092123,0.5047261803910439,5.11919641494751,0.6504628658294678,4.938760280609131,10.708419561386108
function,WFI-RF,rem_6,XGB,weighted,9,"pump, control_scheme, pressure_measurement, address, solenoid, system_mode",0.9705671689516591,0.9686260908025796,0.9705671689516591,0.9676704730934873,0.0034640913425092123,0.5047261803910439,5.11919641494751,0.6504628658294678,4.9167704582214355,10.686429738998413
function,WFI-RF,rem_7,XGB,micro,8,"pump, control_scheme, pressure_measurement, rate, address, solenoid, system_mode",0.9620090885958679,0.9620090885958679,0.9620090885958679,0.9620090885958679,0.0035594558381071206,0.5007419738518398,5.11919641494751,0.6504628658294678,4.944758892059326,10.714418172836304
function,WFI-RF,rem_7,XGB,macro,8,"pump, control_scheme, pressure_measurement, rate, address, solenoid, system_mode",0.9620090885958679,0.9249309108361856,0.7860105900462229,0.8384513164283138,0.0035594558381071206,0.5007419738518398,5.11919641494751,0.6504628658294678,4.9748334884643555,10.744492769241333
function,WFI-RF,rem_7,XGB,weighted,8,"pump, control_scheme, pressure_measurement, rate, address, solenoid, system_mode",0.9620090885958679,0.9601947279724936,0.9620090885958679,0.9586697279792007,0.0035594558381071206,0.5007419738518398,5.11919641494751,0.6504628658294678,4.9217071533203125,10.69136643409729
function,WFI-RF,rem_8,XGB,micro,7,"pump, control_scheme, pressure_measurement, rate, deadband, address, solenoid, system_mode",0.9524010559901936,0.9524010559901936,0.9524010559901936,0.9524010559901936,0.0026668625297512983,0.6317828851576255,5.11919641494751,0.6504628658294678,4.646589517593384,10.416248798370361
function,WFI-RF,rem_8,XGB,macro,7,"pump, control_scheme, pressure_measurement, rate, deadband, address, solenoid, system_mode",0.9524010559901936,0.9137107227310681,0.7288240470142978,0.7878888616300526,0.0026668625297512983,0.6317828851576255,5.11919641494751,0.6504628658294678,4.753861665725708,10.523520946502686
function,WFI-RF,rem_8,XGB,weighted,7,"pump, control_scheme, pressure_measurement, rate, deadband, address, solenoid, system_mode",0.9524010559901936,0.9499214863384875,0.9524010559901936,0.9462338852980281,0.0026668625297512983,0.6317828851576255,5.11919641494751,0.6504628658294678,4.787054538726807,10.556713819503784
function,WFI-RF,rem_9,XGB,micro,6,"pump, control_scheme, pressure_measurement, rate, deadband, gain, address, solenoid, system_mode",0.9381434603589964,0.9381434603589964,0.9381434603589964,0.9381434603589964,0.0022421372816380934,0.7023487802931123,5.11919641494751,0.6504628658294678,4.62519097328186,10.394850254058838
function,WFI-RF,rem_9,XGB,macro,6,"pump, control_scheme, pressure_measurement, rate, deadband, gain, address, solenoid, system_mode",0.9381434603589964,0.8952701453514992,0.6787120560557668,0.7401790395656438,0.0022421372816380934,0.7023487802931123,5.11919641494751,0.6504628658294678,4.684163570404053,10.45382285118103
function,WFI-RF,rem_9,XGB,weighted,6,"pump, control_scheme, pressure_measurement, rate, deadband, gain, address, solenoid, system_mode",0.9381434603589964,0.9350343275608821,0.9381434603589964,0.9279962627380307,0.0022421372816380934,0.7023487802931123,5.11919641494751,0.6504628658294678,4.693364858627319,10.463024139404297
function,WFI-RF,rem_10,XGB,micro,5,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, solenoid, system_mode",0.9232241498443733,0.9232241498443733,0.9232241498443733,0.9232241498443733,0.001435622739923303,0.8416815592694811,5.11919641494751,0.6504628658294678,4.288013458251953,10.05767273902893
function,WFI-RF,rem_10,XGB,macro,5,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, solenoid, system_mode",0.9232241498443733,0.8855499565127474,0.6072471953419055,0.6582404378490238,0.001435622739923303,0.8416815592694811,5.11919641494751,0.6504628658294678,4.350231170654297,10.119890451431274
function,WFI-RF,rem_10,XGB,weighted,5,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, solenoid, system_mode",0.9232241498443733,0.9185727960282373,0.9232241498443733,0.9049328949805613,0.001435622739923303,0.8416815592694811,5.11919641494751,0.6504628658294678,4.458993673324585,10.228652954101562
function,WFI-RF,rem_11,XGB,micro,4,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, system_mode",0.9054462905954805,0.9054462905954805,0.9054462905954805,0.9054462905954805,0.00018066858908121153,0.9987299539356307,5.11919641494751,0.6504628658294678,4.186802387237549,9.956461668014526
function,WFI-RF,rem_11,XGB,macro,4,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, system_mode",0.9054462905954805,0.6553579413088723,0.5280071368166677,0.5423138333934925,0.00018066858908121153,0.9987299539356307,5.11919641494751,0.6504628658294678,4.274461269378662,10.04412055015564
function,WFI-RF,rem_11,XGB,weighted,4,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, system_mode",0.9054462905954805,0.8801583063641983,0.9054462905954805,0.8708673801854573,0.00018066858908121153,0.9987299539356307,5.11919641494751,0.6504628658294678,4.210791110992432,9.98045039176941
function,WFI-RF,rem_12,XGB,micro,3,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, cycle_time, system_mode",0.8916121441985808,0.8916121441985808,0.8916121441985808,0.8916121441985808,0.0,1.0,5.11919641494751,0.6504628658294678,2.832770586013794,8.602429866790771
function,WFI-RF,rem_12,XGB,macro,3,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, cycle_time, system_mode",0.8916121441985808,0.478585683170096,0.4951466203240571,0.4862326953200786,0.0,1.0,5.11919641494751,0.6504628658294678,2.9925568103790283,8.762216091156006
function,WFI-RF,rem_12,XGB,weighted,3,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, cycle_time, system_mode",0.8916121441985808,0.7964325118306322,0.8916121441985808,0.8410997958263128,0.0,1.0,5.11919641494751,0.6504628658294678,3.005338668823242,8.77499794960022
function,WFI-RF,rem_13,XGB,micro,2,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, system_mode, solenoid, cycle_time, length",0.8916121441985808,0.8916121441985808,0.8916121441985808,0.8916121441985808,0.0,1.0,5.11919641494751,0.6504628658294678,2.9590353965759277,8.728694677352905
function,WFI-RF,rem_13,XGB,macro,2,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, system_mode, solenoid, cycle_time, length",0.8916121441985808,0.478585683170096,0.4951466203240571,0.4862326953200786,0.0,1.0,5.11919641494751,0.6504628658294678,3.0265026092529297,8.796161890029907
function,WFI-RF,rem_13,XGB,weighted,2,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, system_mode, solenoid, cycle_time, length",0.8916121441985808,0.7964325118306322,0.8916121441985808,0.8410997958263128,0.0,1.0,5.11919641494751,0.6504628658294678,2.999723196029663,8.76938247680664
function,WFI-RF,rem_14,XGB,micro,1,"pump, control_scheme, crc_rate, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, system_mode, solenoid, cycle_time, length",0.886883135160035,0.886883135160035,0.886883135160035,0.886883135160035,0.0,1.0,5.11919641494751,0.6504628658294678,2.8865513801574707,8.656210660934448
function,WFI-RF,rem_14,XGB,macro,1,"pump, control_scheme, crc_rate, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, system_mode, solenoid, cycle_time, length",0.886883135160035,0.45900338148468567,0.46630159021176326,0.4593645873907645,0.0,1.0,5.11919641494751,0.6504628658294678,2.934081554412842,8.70374083518982
function,WFI-RF,rem_14,XGB,weighted,1,"pump, control_scheme, crc_rate, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, system_mode, solenoid, cycle_time, length",0.886883135160035,0.7923844518449549,0.886883135160035,0.8362449382258351,0.0,1.0,5.11919641494751,0.6504628658294678,2.9337985515594482,8.703457832336426
function,WFI-RF,RFE,RF,micro,14,function,0.9876834028315675,0.9876834028315675,0.9876834028315675,0.9876834028315675,0.0012950210793082322,0.12066828295512881,5.11919641494751,64.2562506198883,47.317893505096436,116.69334053993225
function,WFI-RF,RFE,RF,macro,14,function,0.9876834028315675,0.9521882446598093,0.9066695480473668,0.9274949592056215,0.0012950210793082322,0.12066828295512881,5.11919641494751,64.2562506198883,47.04607439041138,116.42152142524719
function,WFI-RF,RFE,RF,weighted,14,function,0.9876834028315675,0.9873693926855184,0.9876834028315675,0.9873517373679404,0.0012950210793082322,0.12066828295512881,5.11919641494751,64.2562506198883,47.225914478302,116.60136151313782
function,WFI-RF,SPFS,RF,micro,15,,0.987683403609954,0.987683403609954,0.987683403609954,0.987683403609954,0.001305641300208827,0.1206578117722538,5.11919641494751,42.94079804420471,44.01088786125183,92.07088232040405
function,WFI-RF,SPFS,RF,macro,15,,0.987683403609954,0.95169394565942,0.9063655448152973,0.9270800414276271,0.001305641300208827,0.1206578117722538,5.11919641494751,42.94079804420471,44.58181810379028,92.6418125629425
function,WFI-RF,SPFS,RF,weighted,15,,0.987683403609954,0.9873674669748075,0.987683403609954,0.9873515760284635,0.001305641300208827,0.1206578117722538,5.11919641494751,42.94079804420471,44.815125942230225,92.87512040138245
function,WFI-RF,None,RF,micro,15,,0.9875863543873636,0.9875863543873636,0.9875863543873636,0.9875863543873636,0.0012950210793082322,0.12007593580025762,5.11919641494751,3.968240737915039,44.341471433639526,53.428908586502075
function,WFI-RF,None,RF,macro,15,,0.9875863543873636,0.9518617191126749,0.9064207516687451,0.9272046972374323,0.0012950210793082322,0.12007593580025762,5.11919641494751,3.968240737915039,44.32253646850586,53.40997362136841
function,WFI-RF,None,RF,weighted,15,,0.9875863543873636,0.9872794333613847,0.9875863543873636,0.9872568264761826,0.0012950210793082322,0.12007593580025762,5.11919641494751,3.968240737915039,43.740713596343994,52.82815074920654
function,WFI-RF,rem_1,RF,micro,14,pressure_measurement,0.9876481100115365,0.9876481100115365,0.9876481100115365,0.9876481100115365,0.0013057530604704986,0.11946231858816517,5.11919641494751,3.968240737915039,37.82879376411438,46.91623091697693
